1, c_00001, Rebecca Lawrence, 421, Sharpie pens, School Items, 1, $2.0, 2021-09-08 16:30:06, Tesco, Tacoma, United States, Cash, 42176, Y, 
4265, c_04265, Denise Lebon, 307, Dresser, Furniture, 7, $840.0, 2021-10-24 14:26:11, Tesco, Sainte Lorraine-la-Forêt, France, Electronic, 37462, N, Account locked
4266, c_04266, Laetitia Klein, 203, Sandals, Clothes, 5, $150.0, 2021-03-20 18:24:23, Tesco, Lambert, France, Card, 72172, N, Invalid zip code
4267, c_04267, Brigitte Pons, 201, Underwear, Clothes, 5, $45.0, 2021-11-13 20:35:35, Tesco, Deschamps, France, Cash, 92127, Y, 
4268, c_04268, Théophile Marin, 222, Earrings, Clothes, 7, $560.0, 2021-10-06 10:52:39, Tesco, Sainte Madeleine, France, Gift card, 63404, Y, 
4269, c_04269, Zoé Chauveau, 409, Crayons, School Items, 8, $24.0, 2021-12-02 10:03:58, Aldi, Saint Laure, France, Cash, 32808, Y, 
4270, c_04270, Antoine Parent, 402, Mechanical Pencils, School Items, 9, $4.5, 2021-12-25 10:21:21, Amazon, Huet, France, Card, 13226, N, Invalid card number
4271, c_04271, Benjamin Chauvet, 410, Markers, School Items, 3, $9.0, 2021-06-15 19:49:21, Tesco, Augerboeuf, France, Cash, 23865, Y, 
4272, c_04272, Frédéric Barre, 110, Remotes, Technology, 1, $25.0, 2021-12-23 15:19:04, Mediamarkt, HoareauBourg, France, Internet Banking, 70755, N, Account locked
4273, c_04273, Zoé Philippe, 313, Cupboard, Furniture, 3, $270.0, 2021-06-16 14:32:50, Tesco, Sanchez, France, Gift card, 62129, Y, 
4274, c_04274, Jeannine De Sousa, 301, Couches, Furniture, 10, $3000.0, 2021-11-22 14:37:01, bazos, Sainte Richard, France, Internet Banking, 62794, N, Account locked
4275, c_04275, Édith Delorme, 412, Uniforms, School Items, 8, $160.0, 2021-11-20 11:44:48, Aliexpress, Hervé, France, Gift card, 93489, Y, 
4276, c_04276, Alex Rousset, 217, Ties, Clothes, 4, $60.0, 2021-04-01 18:24:31, Tesco, Renaud, France, Cash, 45256, Y, 
4277, c_04277, Aurélie Teixeira, 315, Grandfather clock, Furniture, 4, $2000.0, 2021-06-23 10:09:09, Tesco, Barbier, France, Gift card, 60093, Y, 
4278, c_04278, Léon Ferreira, 302, Recliners, Furniture, 5, $825.0, 2021-03-07 16:42:26, Tesco, Fournier, France, Gift card, 78601, N, Insufficent funds
4279, c_04279, Gérard Lamy, 118, Monitors, Technology, 3, $450.0, 2021-10-15 14:23:09, Tesco, Sainte Thibaut, France, Gift card, 75643, Y, 
4280, c_04280, Antoine Rossi, 314, Cradle, Furniture, 3, $387.0, 2021-10-15 14:23:09, Tesco, Verdier, France, Gift card, 97243, Y, 
4281, c_04281, Élodie Picard, 304, Cabinets, Furniture, 6, $480.0, 2021-01-09 17:23:53, Tesco, Rivière-les-Bains, France, Internet Banking, 77415, Y, 
4282, c_04282, Chantal Lenoir, 304, Cabinets, Furniture, 3, $240.0, 2021-12-04 16:25:08, Aldi, FrançoisBourg, France, Internet Banking, 45647, Y, 
4283, c_04283, Paul Boyer, 222, Earrings, Clothes, 3, $240.0, 2021-12-04 16:25:08, Aldi, Courtois, France, Gift card, 68778, Y, 
4284, c_04284, Marguerite Marion, 306, Bookcase, Furniture, 9, $1350.0, 2021-11-24 19:28:04, Amazon, Daniel-sur-Coste, France, Electronic, 77548, Y, 
4285, c_04285, Dorothée Lévy, 103, Microwaves, Technology, 9, $1440.0, 2021-11-24 19:28:04, Amazon, Thomasdan, France, Card, 29547, Y, 
4286, c_04286, Victoire Simon, 224, Wallet, Clothes, 8, $520.0, 2021-12-01 11:12:07, Tesco, Benard-sur-Mer, France, Internet Banking, 34037, Y, 
4287, c_04287, Marcelle Guillou, 406, Backpacks, School Items, 8, $232.0, 2021-12-01 11:12:07, Tesco, Weber-sur-Mer, France, Internet Banking, 72676, Y, 
4288, c_04288, Luc Delannoy, 210, T-shirts, Clothes, 8, $80.0, 2021-12-21 12:58:09, Amazon, Henry, France, Gift card, 78162, N, Insufficent funds
four thousand two hundred and eighty-ninth, c_04289, Simone Bigot, 110, Remotes, Technology, 4, $100.0, 2021-12-08 14:15:23, Aliexpress, Antoine-sur-Mer, France, Card, 34651, N, Invalid zip code
4290, c_04290, Lucy Blanc, 211, Glasses, Clothes, 1, $59.0, 2021-01-06 13:08:36, Tesco, Roche, France, Cash, 69963, N, Insufficent funds
4291, c_04291, Henri Bazin, 209, Dresses, Clothes, 9, $891.0, 2021-11-09 08:20:01, Tesco, Gomesboeuf, France, Internet Banking, 24992, Y, 
4292, c_04292, Sébastien Pons, 200, Jeans, Clothes, 5, $145.0, 2021-01-22 12:39:24, Tesco, Langlois, France, Cash, 35132, N, Insufficent funds
4293, c_04293, Camille Ollivier, 411, Calculators, School Items, 8, $480.0, 2021-07-11 10:42:45, Amazon, Sainte Dianeboeuf, France, Gift card, 79976, Y, 
4294, c_04294, Thibault Guérin, 313, Cupboard, Furniture, 8, $720.0, 2021-07-11 10:42:45, Amazon, Meyer, France, Gift card, 75964, Y, 
four thousand two hundred and ninety-fifth, c_04295, Timothée Richard, 102, Phones, Technology, 10, $6000.0, 2021-05-18 19:21:47, Tesco, Potier, France, Electronic, 94711, Y, 
4296, c_04296, Amélie Le Goff, 205, Socks, Clothes, 10, $50.0, 2021-11-26 12:19:55, Tesco, Laporte-les-Bains, France, Gift card, 11209, Y, 
4297, c_04297, Margot Leduc, 107, Computers, Technology, 10, $7000.0, 2021-11-26 12:19:55, Tesco, Allard, France, Electronic, 71881, Y, 
four thousand two hundred and ninety-eighth, c_04298, Adélaïde Maury, 303, Tables, Furniture, 8, $2800.0, 2021-12-05 10:55:24, Tesco, Sainte Adrien-les-Bains, France, Internet Banking, 25866, Y, 
4299, c_04299, Margaret Rivière, 201, Underwear, Clothes, 8, $72.0, 2021-12-05 10:55:24, Tesco, Pons-la-Forêt, France, Card, 19831, N, Invalid zip code
4300, c_04300, René Seguin, 208, Gowns, Clothes, 4, $116.0, 2021-07-07 16:53:33, Amazon, Lemonnier, France, Electronic, 50482, Y, 
4301, c_04301, Isabelle Lejeune, 307, Dresser, Furniture, 3, $360.0, 2021-11-06 13:27:08, Amazon, Leclercq, France, Cash, 82859, Y, 
4302, c_04302, Luc Dupuis, 405, Textbooks, School Items, 10, $650.0, 2021-07-16 09:20:35, Tesco, Chauveau, France, Card, 31911, N, Invalid card number
4303, c_04303, Suzanne Payet, 224, Wallet, Clothes, 8, $520.0, 2021-08-02 20:16:28, Tesco, Julien-sur-Mer, France, Internet Banking, 84139, Y, 
4304, c_04304, Joseph Pelletier, 117, Fridges, Technology, 2, $540.0, 2021-12-24 13:12:41, Amazon, Saint Luc, France, Card, 67564, N, Invalid card number
4305, c_04305, Maryse Texier, 301, Couches, Furniture, 2, $600.0, 2021-12-24 13:12:41, Amazon, Lebrun-sur-Pages, France, Cash, 47987, N, Insufficent funds
4306, c_04306, Léon Pineau, 306, Bookcase, Furniture, 5, $750.0, 2021-04-06 16:39:57, Tesco, Mathieu, France, Internet Banking, 48753, Y, 
4307, c_04307, Nathalie Perrier, 205, Socks, Clothes, 3, $15.0, 2021-06-16 13:39:53, Tesco, Dumont, France, Internet Banking, 78553, N, Account locked
4308, c_04308, Robert Picard, 421, Sharpie pens, School Items, 6, $12.0, 2021-11-14 09:35:40, Tesco, Morvan-la-Forêt, France, Electronic, 61328, N, Account locked
4309, c_04309, Corinne Gautier, 421, Sharpie pens, School Items, 6, $12.0, 2021-12-05 08:48:16, Aldi, Alves, France, Card, 63720, Y, 
4310, c_04310, Suzanne Jourdan, 111, Earbuds, Technology, 3, $360.0, 2021-06-16 10:45:25, Tesco, Aubert, France, Internet Banking, 25497, Y, 
4311, c_04311, Édith Caron, 214, Suits, Clothes, 4, $480.0, 2021-06-05 16:06:50, Tesco, Sainte HuguesBourg, France, Gift card, 16120, Y, 
four thousand three hundred and twelfth, c_04312, Patricia Guillet, 208, Gowns, Clothes, 4, $116.0, 2021-03-24 18:48:23, Tesco, Pereira, France, Gift card, 59212, Y, 
4313, c_04313, Margaux Carpentier, 103, Microwaves, Technology, 6, $960.0, 2021-02-21 16:42:01, Tesco, Gérardboeuf, France, Cash, 13727, Y, 
4314, c_04314, Alice Pages, 111, Earbuds, Technology, 9, $1080.0, 2021-08-06 16:52:01, Tesco, Joubert, France, Card, 44861, Y, 
four thousand three hundred and fifteenth, c_04315, Élise Pons, 301, Couches, Furniture, 7, $2100.0, 2021-12-13 13:42:24, Mediamarkt, Guyotdan, France, Cash, 16434, N, Insufficent funds
4316, c_04316, Pauline Charpentier, 307, Dresser, Furniture, 1, $120.0, 2021-03-19 12:03:59, Tesco, Saint Clémence, France, Cash, 14400, Y, 
4317, c_04317, Guy Allard, 312, Stool, Furniture, 6, $150.0, 2021-12-17 09:13:34, Amazon, MeyerVille, France, Gift card, 25404, N, Insufficent funds
4318, c_04318, Édith Foucher, 302, Recliners, Furniture, 9, $1485.0, 2021-12-12 11:30:40, Tesco, Lefebvrenec, France, Gift card, 22689, Y, 
4319, c_04319, Louis Boutin, 214, Suits, Clothes, 9, $1080.0, 2021-12-12 11:30:40, Tesco, Sainte Théodorenec, France, Electronic, 93626, Y, 
4320, c_04320, Luce Lambert, 314, Cradle, Furniture, 1, $129.0, 2021-07-24 19:21:00, Amazon, Louis, France, Internet Banking, 42819, Y, 
4321, c_04321, Patrick Boulanger, 105, Electronic Locks, Technology, 1, $85.0, 2021-07-26 18:04:57, Tesco, Sauvage, France, Gift card, 25952, Y, 
4322, c_04322, Laure Laporte, 304, Cabinets, Furniture, 1, $80.0, 2021-01-04 12:48:16, Tesco, Gonzalez-les-Bains, France, Electronic, 46121, Y, 
4323, c_04323, Nathalie Durand, 301, Couches, Furniture, 6, $1800.0, 2021-10-13 20:43:34, Tesco, Maillet, France, Internet Banking, 20747, Y, 
4324, c_04324, Léon Pruvost, 110, Remotes, Technology, 1, $25.0, 2021-07-04 16:08:24, Tesco, Saint PhilippineBourg, France, Card, 71275, Y, 
4325, c_04325, Alexandre Navarro, 422, Lunchbox, School Items, 1, $7.0, 2021-07-04 16:08:24, Tesco, Le Goff, France, Gift card, 28742, Y, 
four thousand three hundred and twenty-sixth, c_04326, Charles Baron, 401, Pencils, School Items, 6, $3.0, 2021-06-15 16:41:30, Amazon, De Oliveiradan, France, Electronic, 70338, Y, 
4327, c_04327, Hugues Laurent, 300, Chairs, Furniture, 4, $240.0, 2021-07-19 08:38:23, Amazon, Barbe, France, Card, 38211, Y, 
4328, c_04328, Élodie Jacquot, 118, Monitors, Technology, 9, $1350.0, 2021-12-22 15:53:57, Tesco, Saint Noémi, France, Gift card, 39726, Y, 
4329, c_04329, Margaud Leroux, 407, Bags, School Items, 3, $30.0, 2021-10-09 13:05:11, Tesco, Sainte ConstanceBourg, France, Card, 17354, N, Invalid zip code
4330, c_04330, Isaac Guibert, 419, Lunch Bags, School Items, 3, $21.0, 2021-10-09 13:05:11, Tesco, Blanc, France, Gift card, 29781, Y, 
4331, c_04331, Éléonore Guyon, 214, Suits, Clothes, 9, $1080.0, 2021-12-17 16:07:06, Amazon, Legros, France, Cash, 77490, N, Insufficent funds
4332, c_04332, Jacques Vincent, 304, Cabinets, Furniture, 7, $560.0, 2021-12-27 14:02:56, Tesco, DupontBourg, France, Cash, 95185, Y, 
4333, c_04333, Augustin Berthelot, 117, Fridges, Technology, 8, $2160.0, 2021-12-16 08:20:39, Mediamarkt, Breton-sur-Lesage, France, Internet Banking, 11293, Y, 
four thousand three hundred and thirty-fourth, c_04334, Sophie Raynaud, 220, Bow-ties, Clothes, 9, $135.0, 2021-05-09 08:30:04, Amazon, Traore, France, Electronic, 33093, Y, 
4335, c_04335, Jérôme Duval, 316, Shelves, Furniture, 7, $210.0, 2021-11-11 17:16:53, Tesco, Reynaud, France, Gift card, 99630, Y, 
4336, c_04336, Thibault Gauthier, 314, Cradle, Furniture, 5, $645.0, 2021-12-28 12:04:42, Amazon, Sainte Vincent, France, Electronic, 21893, N, Account locked
4337, c_04337, Christine Ramos, 115, USB, Technology, 2, $30.0, 2021-07-27 11:58:32, Tesco, Saint Éléonore, France, Electronic, 10630, N, Account locked
4338, c_04338, Adèle Moreno, 220, Bow-ties, Clothes, 7, $105.0, 2021-04-24 19:36:06, Tesco, Saint SébastienVille, France, Cash, 33954, N, Insufficent funds
4339, c_04339, Pierre Jacques, 114, Webcam, Technology, 5, $600.0, 2021-01-24 09:34:55, Tesco, Chevallierdan, France, Gift card, 28801, Y, 
4340, c_04340, Victoire Michel, 416, Folders, School Items, 5, $5.0, 2021-01-24 09:34:55, Tesco, Saint Raymondnec, France, Internet Banking, 12322, N, Account locked
4341, c_04341, Michèle Rivière, 420, Gym Bag, School Items, 6, $72.0, 2021-12-10 14:11:41, Aliexpress, Petitjean, France, Gift card, 23027, Y, 
4342, c_04342, Alice Grégoire, 102, Phones, Technology, 5, $3000.0, 2021-04-18 13:55:28, Tesco, Rolland-sur-Mer, France, Gift card, 67378, Y, 
4343, c_04343, Arthur Boulay, 312, Stool, Furniture, 9, $225.0, 2021-12-08 12:55:28, Aldi, Rivière-la-Forêt, France, Cash, 80091, Y, 
4344, c_04344, Amélie Dupuy, 420, Gym Bag, School Items, 3, $36.0, 2021-11-17 20:25:39, Tesco, Sainte André, France, Internet Banking, 50476, N, Account locked
4345, c_04345, Corinne Hebert, 208, Gowns, Clothes, 3, $87.0, 2021-02-20 16:35:29, Tesco, Sauvage, France, Card, 74450, Y, 
4346, c_04346, Laurent Valette, 101, Hard Drives, Technology, 7, $875.0, 2021-12-06 15:25:23, Aliexpress, Sainte PénélopeBourg, France, Card, 39066, Y, 
4347, c_04347, Suzanne Imbert, 220, Bow-ties, Clothes, 3, $45.0, 2021-09-28 13:15:07, alza.cz, Huetdan, France, Card, 72042, Y, 
4348, c_04348, Lucas Wagner, 100, Laptops, Technology, 2, $900.0, 2021-01-13 17:28:52, Tesco, Maury, France, Cash, 46377, Y, 
4349, c_04349, Auguste Lucas, 103, Microwaves, Technology, 1, $160.0, 2021-12-03 12:29:42, Tesco, MaillardVille, France, Gift card, 38316, Y, 
4350, c_04350, Hugues Didier, 301, Couches, Furniture, 5, $1500.0, 2021-03-04 16:42:52, Tesco, Alexandrenec, France, Electronic, 92699, Y, 
4351, c_04351, Margaux Rémy, 105, Electronic Locks, Technology, 8, $680.0, 2021-12-01 09:20:49, Aldi, Roche, France, Gift card, 29600, Y, 
4352, c_04352, Catherine Mace, 306, Bookcase, Furniture, 9, $1350.0, 2021-02-27 11:46:09, Tesco, Maillet, France, Internet Banking, 43476, Y, 
4353, c_04353, Marine Lebon, 306, Bookcase, Furniture, 7, $1050.0, 2021-11-04 11:42:30, Tesco, Pelletierdan, France, Gift card, 95520, N, Insufficent funds
4354, c_04354, Denise Picard, 109, TVs, Technology, 5, $6000.0, 2021-11-02 15:57:47, Tesco, Laporte, France, Internet Banking, 44901, Y, 
4355, c_04355, Thomas Antoine, 304, Cabinets, Furniture, 3, $240.0, 2021-09-16 19:47:55, Tesco, Michel, France, Card, 80126, Y, 
4356, c_04356, Isabelle Maillot, 423, Index cards, School Items, 9, $18.0, 2021-08-11 14:13:54, Tesco, Menard, France, Cash, 69357, Y, 
4357, c_04357, Marie Dias, 422, Lunchbox, School Items, 5, $35.0, 2021-12-27 20:03:03, Tesco, Kleinnec, France, Card, 63422, Y, 
four thousand three hundred and fifty-eighth, c_04358, Hortense Muller, 415, Pens, School Items, 5, $7.5, 2021-12-27 20:03:03, Tesco, MailletVille, France, Internet Banking, 14391, Y, 
4359, c_04359, Gabrielle Lacombe, 116, Cables, Technology, 1, $30.0, 2021-12-17 11:15:30, Tesco, Dufour, France, Card, 64032, N, Invalid zip code
4360, c_04360, Margaret Pascal, 210, T-shirts, Clothes, 1, $10.0, 2021-12-17 11:15:30, Tesco, Saint Denisdan, France, Card, 36504, Y, 
4361, c_04361, Marthe Barbe, 219, Boxers, Clothes, 9, $45.0, 2021-12-16 08:53:51, Aldi, Raymond, France, Electronic, 29565, Y, 
4362, c_04362, Céline Pinto, 312, Stool, Furniture, 9, $225.0, 2021-12-16 08:53:51, Aldi, Mace-la-Forêt, France, Cash, 43799, Y, 
four thousand three hundred and sixty-third, c_04363, Josette Guillou, 412, Uniforms, School Items, 1, $20.0, 2021-10-20 16:37:06, Tesco, Courtois, France, Card, 46386, Y, 
4364, c_04364, Aimée Faivre, 303, Tables, Furniture, 1, $350.0, 2021-10-20 16:37:06, Tesco, Sainte Martine-les-Bains, France, Card, 47038, N, Invalid CVV
4365, c_04365, Valentine Couturier, 309, Beds, Furniture, 10, $5000.0, 2021-12-12 12:59:18, Amazon, Merle-sur-Mer, France, Cash, 36082, N, Insufficent funds
4366, c_04366, Bertrand Nicolas, 315, Grandfather clock, Furniture, 9, $4500.0, 2021-01-08 11:12:46, Tesco, MarinVille, France, Gift card, 71522, Y, 
4367, c_04367, Éric Renaud, 316, Shelves, Furniture, 9, $270.0, 2021-01-08 11:12:46, Tesco, Saint Laurence, France, Internet Banking, 10618, Y, 
4368, c_04368, Thomas Vincent, 225, Cap, Clothes, 6, $120.0, 2021-09-24 18:41:16, Tesco, Saint Deniseboeuf, France, Electronic, 88370, Y, 
4369, c_04369, Théophile Grenier, 423, Index cards, School Items, 1, $2.0, 2021-12-21 13:59:01, Amazon, Bruneau-sur-Huet, France, Card, 61482, Y, 
4370, c_04370, Margaret Blanc, 316, Shelves, Furniture, 2, $60.0, 2021-08-27 16:21:49, Tesco, Brunet-sur-Delattre, France, Internet Banking, 17403, Y, 
4371, c_04371, Adrienne Seguin, 113, Mouse, Technology, 2, $160.0, 2021-10-25 15:33:35, Tesco, Massonnec, France, Electronic, 83407, Y, 
4372, c_04372, Alexandria Tanguy, 405, Textbooks, School Items, 3, $195.0, 2021-12-18 09:11:23, Tesco, Henry-sur-Evrard, France, Card, 92918, Y, 
4373, c_04373, David Boulay, 202, Shoes, Clothes, 9, $540.0, 2021-07-04 08:14:20, Tesco, Gilbertnec, France, Cash, 77608, N, Insufficent funds
4374, c_04374, Caroline Sanchez, 207, Kahkis, Clothes, 2, $30.0, 2021-10-12 20:36:25, Tesco, Fontaine-sur-Martineau, France, Internet Banking, 66202, Y, 
4375, c_04375, Caroline Bazin, 205, Socks, Clothes, 2, $10.0, 2021-10-12 20:36:25, Tesco, Leleu, France, Gift card, 79503, Y, 
4376, c_04376, Agnès Coste, 411, Calculators, School Items, 3, $180.0, 2021-01-18 18:39:32, Tesco, Saint René, France, Cash, 16442, Y, 
four thousand three hundred and seventy-seventh, c_04377, Susanne Fournier, 404, Chromebooks, School Items, 8, $960.0, 2021-06-23 14:50:41, Tesco, Rousseau-les-Bains, France, Internet Banking, 20687, Y, 
4378, c_04378, Hélène Laine, 213, Tracksuit, Clothes, 4, $196.0, 2021-06-03 10:17:22, Tesco, Gonzalez, France, Internet Banking, 53218, N, Account locked
4379, c_04379, Colette Berger, 409, Crayons, School Items, 4, $12.0, 2021-06-03 10:17:22, Tesco, Bourdon-sur-Bruneau, France, Gift card, 61889, Y, 
4380, c_04380, Mathilde Costa, 407, Bags, School Items, 4, $40.0, 2021-11-21 18:47:41, Mediamarkt, Millet, France, Cash, 74149, Y, 
4381, c_04381, Odette Langlois, 218, Briefs, Clothes, 10, $50.0, 2021-11-20 18:11:59, Tesco, Perretboeuf, France, Internet Banking, 72825, N, Account locked
4382, c_04382, Matthieu Maurice, 207, Kahkis, Clothes, 8, $120.0, 2021-05-23 16:59:58, Tesco, Saint AlphonseVille, France, Card, 49437, Y, 
4383, c_04383, Guy Reynaud, 311, Ottoman, Furniture, 2, $100.0, 2021-11-28 18:45:18, Mediamarkt, Grondinnec, France, Electronic, 99417, N, Account locked
4384, c_04384, Monique Robin, 101, Hard Drives, Technology, 2, $250.0, 2021-12-04 10:58:54, Aldi, Lelièvre, France, Card, 15449, N, Invalid card number
4385, c_04385, Danielle Bertin, 226, Watch, Clothes, 2, $120.0, 2021-06-14 11:45:35, Tesco, Auger, France, Gift card, 88580, Y, 
4386, c_04386, Auguste Gomez, 422, Lunchbox, School Items, 1, $7.0, 2021-12-06 16:26:46, Amazon, Lefebvre, France, Cash, 72819, Y, 
4387, c_04387, Inès Lemaître, 417, Pencil Pouch, School Items, 3, $15.0, 2021-03-20 14:15:33, Tesco, Saint Thérèse, France, Cash, 64611, Y, 
4388, c_04388, Josette Grenier, 421, Sharpie pens, School Items, 3, $6.0, 2021-11-06 18:27:42, Tesco, Monnier, France, Gift card, 77747, Y, 
4389, c_04389, Sylvie Robin, 312, Stool, Furniture, 3, $75.0, 2021-11-06 18:27:42, Tesco, Sainte Lucie-la-Forêt, France, Cash, 58699, Y, 
four thousand three hundred and ninetieth, c_04390, Louis Lévêque, 201, Underwear, Clothes, 5, $45.0, 2021-08-19 16:14:36, Tesco, Daniel, France, Gift card, 98679, Y, 
4391, c_04391, Lucie Lelièvre, 316, Shelves, Furniture, 8, $240.0, 2021-12-12 12:44:36, Tesco, Pasquier-les-Bains, France, Card, 47021, Y, 
4392, c_04392, Émilie Bodin, 413, Sketchbooks, School Items, 7, $21.0, 2021-12-13 19:54:20, Tesco, ImbertBourg, France, Internet Banking, 97408, Y, 
4393, c_04393, Sylvie Étienne, 218, Briefs, Clothes, 7, $35.0, 2021-12-13 19:54:20, Tesco, Saint Margaux, France, Gift card, 42688, N, Insufficent funds
4394, c_04394, Margaux Rey, 414, Notepads, School Items, 4, $12.0, 2021-11-28 16:19:39, Tesco, LeblancVille, France, Internet Banking, 58435, N, Account locked
4395, c_04395, Thomas Lenoir, 118, Monitors, Technology, 2, $300.0, 2021-12-06 11:16:44, Amazon, BergerBourg, France, Electronic, 80716, Y, 
4396, c_04396, Margot Guillot, 311, Ottoman, Furniture, 2, $100.0, 2021-01-11 18:04:08, Tesco, Guillou-sur-Gauthier, France, Cash, 46863, N, Insufficent funds
4397, c_04397, Hortense Gaudin, 204, Formal Wear, Clothes, 6, $720.0, 2021-11-22 13:03:26, Tesco, Gomez-la-Forêt, France, Gift card, 46629, Y, 
4398, c_04398, Olivie Maury, 400, Notebooks, School Items, 10, $10.0, 2021-10-26 13:57:23, Tesco, Laporte, France, Gift card, 80471, Y, 
4399, c_04399, Émile Goncalves, 316, Shelves, Furniture, 10, $300.0, 2021-10-26 13:57:23, Tesco, Marin, France, Card, 17764, Y, 
4400, c_04400, Thérèse Alexandre, 202, Shoes, Clothes, 4, $240.0, 2021-12-18 18:37:50, Tesco, Descamps, France, Cash, 66972, N, Insufficent funds
4401, c_04401, Emmanuelle Dupuy, 413, Sketchbooks, School Items, 4, $12.0, 2021-12-18 18:37:50, Tesco, Lelièvre-sur-Jacques, France, Card, 62046, Y, 
4402, c_04402, William Blot, 406, Backpacks, School Items, 6, $174.0, 2021-07-03 18:47:58, Tesco, FleuryVille, France, Electronic, 20290, Y, 
4403, c_04403, Jacques Salmon, 216, Coats, Clothes, 5, $100.0, 2021-12-28 14:02:22, Mediamarkt, Guyon, France, Electronic, 35400, N, Account locked
4404, c_04404, Susanne Jacques, 316, Shelves, Furniture, 8, $240.0, 2021-12-27 18:39:13, Aldi, Le Goff, France, Card, 15866, Y, 
four thousand four hundred and fifth, c_04405, Valentine Duhamel, 103, Microwaves, Technology, 10, $1600.0, 2021-12-23 13:12:09, Mediamarkt, Vidal-la-Forêt, France, Internet Banking, 13717, Y, 
4406, c_04406, Honoré Charles, 203, Sandals, Clothes, 10, $300.0, 2021-12-23 13:12:09, Mediamarkt, Sainte CélineBourg, France, Electronic, 78089, Y, 
4407, c_04407, Paulette Breton, 118, Monitors, Technology, 3, $450.0, 2021-12-13 20:28:44, Aldi, Hoareau-sur-Lebrun, France, Card, 11481, Y, 
4408, c_04408, Michelle Bonnet, 113, Mouse, Technology, 8, $640.0, 2021-01-26 15:33:35, Tesco, Munoz, France, Gift card, 44040, Y, 
4409, c_04409, Patrick Leblanc, 405, Textbooks, School Items, 8, $520.0, 2021-01-26 15:33:35, Tesco, Duhamel, France, Card, 72143, Y, 
4410, c_04410, Gilles Wagner, 203, Sandals, Clothes, 8, $240.0, 2021-11-27 10:29:01, Tesco, Sainte Guydan, France, Internet Banking, 64419, N, Account locked
4411, c_04411, Marcelle Verdier, 419, Lunch Bags, School Items, 7, $49.0, 2021-04-27 10:09:13, Tesco, Leclercq, France, Gift card, 23188, N, Insufficent funds
4412, c_04412, Gilbert Vallée, 203, Sandals, Clothes, 7, $210.0, 2021-04-27 10:09:13, Tesco, Valléeboeuf, France, Card, 83337, Y, 
4413, c_04413, Patrick Grenier, 217, Ties, Clothes, 5, $75.0, 2021-07-18 10:21:46, Amazon, Bertinnec, France, Internet Banking, 13209, Y, 
4414, c_04414, Chantal Guérin, 216, Coats, Clothes, 5, $100.0, 2021-12-02 11:28:33, Aldi, MorenoBourg, France, Cash, 77068, N, Insufficent funds
4415, c_04415, Nicole Devaux, 115, USB, Technology, 6, $90.0, 2021-11-14 11:38:02, Mediamarkt, Saint Théophile, France, Electronic, 35637, N, Account locked
4416, c_04416, Marianne Julien, 414, Notepads, School Items, 2, $6.0, 2021-04-26 14:02:57, Tesco, AntoineVille, France, Card, 99283, Y, 
4417, c_04417, Raymond Maillet, 216, Coats, Clothes, 10, $200.0, 2021-12-27 12:29:26, Tesco, Brun, France, Gift card, 44412, Y, 
4418, c_04418, Philippe Thibault, 415, Pens, School Items, 1, $1.5, 2021-11-02 09:04:29, Tesco, Robin, France, Cash, 72943, N, Insufficent funds
4419, c_04419, Suzanne Gautier, 412, Uniforms, School Items, 1, $20.0, 2021-11-02 09:04:29, Tesco, Masse, France, Gift card, 20636, Y, 
4420, c_04420, Roger Hoareau, 105, Electronic Locks, Technology, 8, $680.0, 2021-12-08 08:50:59, Tesco, Dos Santos-sur-Perret, France, Electronic, 30443, N, Account locked
4421, c_04421, Aurore Charpentier, 208, Gowns, Clothes, 9, $261.0, 2021-12-17 15:47:21, Tesco, Paris, France, Gift card, 67444, Y, 
4422, c_04422, Astrid Bertrand, 226, Watch, Clothes, 9, $540.0, 2021-12-17 15:47:21, Tesco, Thierry, France, Card, 20656, Y, 
4423, c_04423, Daniel Weiss, 420, Gym Bag, School Items, 1, $12.0, 2021-12-04 17:51:51, Tesco, Martynec, France, Cash, 62578, Y, 
4424, c_04424, Patricia Mendès, 107, Computers, Technology, 1, $700.0, 2021-01-28 08:15:30, Tesco, DupuisBourg, France, Electronic, 14908, Y, 
4425, c_04425, Gilbert Meunier, 209, Dresses, Clothes, 1, $99.0, 2021-01-28 08:15:30, Tesco, Salmon, France, Cash, 78049, Y, 
4426, c_04426, Anne Guillot, 103, Microwaves, Technology, 8, $1280.0, 2021-12-28 15:44:46, Amazon, François, France, Electronic, 10159, N, Account locked
4427, c_04427, Juliette Merle, 310, Ladders, Furniture, 3, $69.0, 2021-12-06 18:10:36, Tesco, Lamy, France, Card, 65465, N, Invalid card number
4428, c_04428, Alexandrie Guillaume, 405, Textbooks, School Items, 3, $195.0, 2021-12-06 18:10:36, Tesco, Saint Christophe, France, Internet Banking, 15297, Y, 
4429, c_04429, Clémence Petitjean, 210, T-shirts, Clothes, 5, $50.0, 2021-12-04 20:18:30, Tesco, Gimeneznec, France, Electronic, 33736, N, Account locked
4430, c_04430, Grégoire Blondel, 216, Coats, Clothes, 5, $100.0, 2021-12-04 20:18:30, Tesco, Lemaire, France, Gift card, 52011, N, Insufficent funds
4431, c_04431, William Petit, 403, Erasers, School Items, 5, $7.5, 2021-11-27 10:40:02, Tesco, Roger, France, Gift card, 57669, N, Insufficent funds
